CookingMethod,DryingMethod,Replicate,Plot,Individual,NumQuarters
Stove,Oven,1,1,1,20
Stove,Oven,1,1,2,18
Microwave,Oven,1,1,1,29
Microwave,Oven,1,1,2,26
Stove,Air,1,2,1,5
Stove,Air,1,2,2,3
Microwave,Air,1,2,1,7
Microwave,Air,1,2,2,6
Stove,Oven,2,3,1,22
Microwave,Oven,2,3,1,30
Microwave,Oven,2,3,2,33
Stove,Oven,3,4,1,38
Microwave,Oven,3,4,1,30
Microwave,Oven,3,4,2,30
Stove,Air,2,5,1,7
Stove,Air,2,5,2,5
Microwave,Air,2,5,1,3
Stove,Air,3,6,1,14
Stove,Air,3,6,2,26
Microwave,Air,3,6,1,10
Microwave,Air,3,6,2,7
